date,nav,scheme_code,scheme_name,fund_house
01-12-2025,111.63650,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
30-11-2025,111.83110,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
28-11-2025,111.83570,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
27-11-2025,111.81150,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
26-11-2025,111.83550,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
25-11-2025,110.56080,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
24-11-2025,110.66100,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
21-11-2025,111.19180,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
20-11-2025,112.07950,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
19-11-2025,111.70180,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
18-11-2025,111.17690,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
17-11-2025,111.79330,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
14-11-2025,111.20340,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
13-11-2025,111.42260,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
12-11-2025,111.57880,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
11-11-2025,111.16220,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
10-11-2025,110.97760,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
07-11-2025,110.44310,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
06-11-2025,110.44090,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
04-11-2025,111.40460,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
